[21094, 'chrM', '0', '620', 'Pol2_peaks.bed']
[7390, 'chr16', '188716', '188902', 'Pol2_peaks.bed']
[3161, 'chr11', '190135', '190279', 'Pol2_peaks.bed']
[10847, 'chr7', '191000', '195799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5472, 'chr16', '204400', '205399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2260, 'chr11', '206000', '210799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14190, 'chr4', '206000', '209199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15088, 'chr4', '206345', '206628', 'Pol2_peaks.bed']
[3162, 'chr11', '207310', '207403', 'Pol2_peaks.bed']
[1192, 'chr12', '208000', '209399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19746, 'chr9', '214000', '216199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20248, 'chr9', '214556', '214654', 'Pol2_peaks.bed']
[5473, 'chr16', '215200', '217799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13143, 'chr5', '217400', '219999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15952, 'chr5', '218063', '218320', 'Pol2_peaks.bed']
[5474, 'chr16', '230200', '231999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7391, 'chr16', '231395', '231510', 'Pol2_peaks.bed']
[7392, 'chr16', '231859', '231957', 'Pol2_peaks.bed']
[4281, 'chr17', '232400', '236799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2261, 'chr11', '235400', '238399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15089, 'chr4', '236021', '236114', 'Pol2_peaks.bed']
[3163, 'chr11', '236248', '236365', 'Pol2_peaks.bed']
[15033, 'chr3', '237800', '240799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10053, 'chr20', '247000', '247799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12645, 'chr20', '247517', '247756', 'Pol2_peaks.bed']
[1193, 'chr12', '247600', '249799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10054, 'chr20', '258200', '260399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4282, 'chr17', '259200', '261599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8203, 'chr17', '259660', '259823', 'Pol2_peaks.bed']
[16175, 'chr2', '262400', '267399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11144, 'chr2', '264882', '265224', 'Pol2_peaks.bed']
[7727, 'chr19', '266800', '267799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9242, 'chr18', '267000', '269799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9350, 'chr18', '267881', '268315', 'Pol2_peaks.bed']
[10055, 'chr20', '269200', '271999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13144, 'chr5', '270800', '271999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12646, 'chr20', '270891', '271093', 'Pol2_peaks.bed']
[15953, 'chr5', '271659', '271846', 'Pol2_peaks.bed']
[5475, 'chr16', '276800', '279999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10056, 'chr20', '277400', '283999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12647, 'chr20', '278172', '278265', 'Pol2_peaks.bed']
[7393, 'chr16', '279027', '279522', 'Pol2_peaks.bed']
[12648, 'chr20', '281814', '281968', 'Pol2_peaks.bed']
[5476, 'chr16', '283200', '285999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7394, 'chr16', '284582', '284726', 'Pol2_peaks.bed']
[7395, 'chr16', '284818', '285051', 'Pol2_peaks.bed']
[7396, 'chr16', '285175', '285369', 'Pol2_peaks.bed']
[16176, 'chr2', '285800', '290399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2262, 'chr11', '287200', '290199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10057, 'chr20', '288800', '291599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7728, 'chr19', '289200', '291399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9684, 'chr19', '290087', '290275', 'Pol2_peaks.bed']
[9685, 'chr19', '290377', '290509', 'Pol2_peaks.bed']
[12649, 'chr20', '290638', '290812', 'Pol2_peaks.bed']
[12650, 'chr20', '290964', '291059', 'Pol2_peaks.bed']
[11884, 'chr6', '291200', '295199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17048, 'chr6', '292527', '292667', 'Pol2_peaks.bed']
[7729, 'chr19', '294600', '295999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4323, 'chr12', '296756', '296884', 'Pol2_peaks.bed']
[1194, 'chr12', '297200', '298599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14191, 'chr4', '297400', '300199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15090, 'chr4', '299075', '299471', 'Pol2_peaks.bed']
[18386, 'chr7', '302399', '302493', 'Pol2_peaks.bed']
[10058, 'chr20', '303600', '311999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12651, 'chr20', '304937', '305120', 'Pol2_peaks.bed']
[12652, 'chr20', '305832', '305938', 'Pol2_peaks.bed']
[2263, 'chr11', '308000', '308399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[1195, 'chr12', '311200', '313999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2264, 'chr11', '311600', '317999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7397, 'chr16', '317368', '317470', 'Pol2_peaks.bed']
[2265, 'chr11', '319600', '320999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13145, 'chr5', '320400', '323599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5477, 'chr16', '324600', '326599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10059, 'chr20', '326000', '329799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12653, 'chr20', '328557', '328693', 'Pol2_peaks.bed']
[14192, 'chr4', '329400', '334399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15091, 'chr4', '331532', '331735', 'Pol2_peaks.bed']
[2266, 'chr11', '334200', '334999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3164, 'chr11', '334389', '334643', 'Pol2_peaks.bed']
[7730, 'chr19', '339600', '345999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13146, 'chr5', '343400', '344599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9686, 'chr19', '344928', '345055', 'Pol2_peaks.bed']
[2267, 'chr11', '355200', '357799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3165, 'chr11', '355950', '356103', 'Pol2_peaks.bed']
[10060, 'chr20', '359800', '364799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12654, 'chr20', '361394', '361520', 'Pol2_peaks.bed']
[3166, 'chr11', '364486', '364579', 'Pol2_peaks.bed']
[2268, 'chr11', '368000', '368999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2269, 'chr11', '369800', '371399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3167, 'chr11', '370073', '370188', 'Pol2_peaks.bed']
[13147, 'chr5', '372600', '374599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14193, 'chr4', '379600', '381399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10061, 'chr20', '387200', '391199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12655, 'chr20', '388337', '388533', 'Pol2_peaks.bed']
[11885, 'chr6', '390400', '394199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17049, 'chr6', '391737', '391848', 'Pol2_peaks.bed']
[2270, 'chr11', '394000', '395399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5478, 'chr16', '399800', '402199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15954, 'chr5', '400009', '400142', 'Pol2_peaks.bed']
[7398, 'chr16', '402549', '402695', 'Pol2_peaks.bed']
[2271, 'chr11', '406600', '408599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7731, 'chr19', '407800', '410399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15955, 'chr5', '415670', '415770', 'Pol2_peaks.bed']
[2272, 'chr11', '415800', '417999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8204, 'chr17', '417866', '417959', 'Pol2_peaks.bed']
[5479, 'chr16', '419200', '421199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10848, 'chr7', '419400', '420599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7399, 'chr16', '420485', '420646', 'Pol2_peaks.bed']
[7732, 'chr19', '427000', '428799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5480, 'chr16', '429000', '434199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10062, 'chr20', '440800', '443999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2273, 'chr11', '441000', '442199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13148, 'chr5', '442200', '445399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12656, 'chr20', '443080', '443188', 'Pol2_peaks.bed']
[15956, 'chr5', '443143', '443274', 'Pol2_peaks.bed']
[12657, 'chr20', '443268', '443380', 'Pol2_peaks.bed']
[5481, 'chr16', '445800', '448599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7400, 'chr16', '447166', '447271', 'Pol2_peaks.bed']
[2274, 'chr11', '447800', '451799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3168, 'chr11', '448276', '448369', 'Pol2_peaks.bed']
[5482, 'chr16', '450000', '452799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3169, 'chr11', '450032', '450214', 'Pol2_peaks.bed']
[7401, 'chr16', '451873', '452070', 'Pol2_peaks.bed']
[7733, 'chr19', '459400', '460399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7734, 'chr19', '461000', '462599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14194, 'chr4', '466000', '468399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16177, 'chr2', '467600', '469199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15092, 'chr4', '467749', '468018', 'Pol2_peaks.bed']
[19747, 'chr9', '469000', '471799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20249, 'chr9', '470275', '470444', 'Pol2_peaks.bed']
[13149, 'chr5', '471600', '475799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5483, 'chr16', '473800', '478599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7735, 'chr19', '488000', '490599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14195, 'chr4', '490800', '495599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20585, 'chr8', '490800', '496999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10849, 'chr7', '491200', '492399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15093, 'chr4', '492836', '493221', 'Pol2_peaks.bed']
[19461, 'chr8', '494062', '494287', 'Pol2_peaks.bed']
[19462, 'chr8', '494725', '494867', 'Pol2_peaks.bed']
[13150, 'chr5', '495200', '496599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7736, 'chr19', '496000', '498799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[1196, 'chr12', '496200', '499799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4324, 'chr12', '498359', '498593', 'Pol2_peaks.bed']
[4325, 'chr12', '498775', '498992', 'Pol2_peaks.bed']
[9243, 'chr18', '499000', '501999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19748, 'chr9', '503200', '506799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2275, 'chr11', '503800', '509199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7737, 'chr19', '506200', '508599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3170, 'chr11', '506704', '506886', 'Pol2_peaks.bed']
[9687, 'chr19', '506843', '507043', 'Pol2_peaks.bed']
[3171, 'chr11', '507041', '507231', 'Pol2_peaks.bed']
[1197, 'chr12', '510000', '512599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4326, 'chr12', '510521', '510619', 'Pol2_peaks.bed']
[4327, 'chr12', '510674', '511049', 'Pol2_peaks.bed']
[10063, 'chr20', '518800', '525599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3172, 'chr11', '519044', '519167', 'Pol2_peaks.bed']
[13151, 'chr5', '523400', '525399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12658, 'chr20', '524261', '524583', 'Pol2_peaks.bed']
[7738, 'chr19', '530400', '534199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2276, 'chr11', '534400', '535199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3173, 'chr11', '535720', '535815', 'Pol2_peaks.bed']
[2277, 'chr11', '535800', '537999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20586, 'chr8', '541400', '544199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2278, 'chr11', '553800', '556599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10850, 'chr7', '554200', '558999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[18387, 'chr7', '555527', '555629', 'Pol2_peaks.bed']
[2279, 'chr11', '559600', '562399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10851, 'chr7', '559600', '562599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2280, 'chr11', '567200', '568399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14196, 'chr4', '568200', '573799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[1198, 'chr12', '568400', '571999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7739, 'chr19', '570800', '575799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9688, 'chr19', '572177', '572338', 'Pol2_peaks.bed']
[9689, 'chr19', '572549', '572694', 'Pol2_peaks.bed']
[2281, 'chr11', '574400', '580199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5484, 'chr16', '575000', '577599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3174, 'chr11', '576262', '576539', 'Pol2_peaks.bed']
[15034, 'chr3', '577000', '578799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5485, 'chr16', '578200', '580599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9690, 'chr19', '584418', '584584', 'Pol2_peaks.bed']
[9691, 'chr19', '584624', '584841', 'Pol2_peaks.bed']
[10064, 'chr20', '589200', '591599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9244, 'chr18', '596400', '598599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13152, 'chr5', '610600', '614799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15957, 'chr5', '612415', '612543', 'Pol2_peaks.bed']
[2282, 'chr11', '615200', '616199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3175, 'chr11', '615888', '615983', 'Pol2_peaks.bed']
[4283, 'chr17', '616400', '619999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8205, 'chr17', '617807', '617900', 'Pol2_peaks.bed']
[8206, 'chr17', '617994', '618105', 'Pol2_peaks.bed']
[5486, 'chr16', '619000', '622199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4328, 'chr12', '619431', '619524', 'Pol2_peaks.bed']
[5487, 'chr16', '628800', '629399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7740, 'chr19', '632200', '635399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10065, 'chr20', '632600', '635199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4284, 'chr17', '632800', '638199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9692, 'chr19', '633432', '633545', 'Pol2_peaks.bed']
[9245, 'chr18', '634400', '635799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2283, 'chr11', '635800', '640599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20587, 'chr8', '636600', '638799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5488, 'chr16', '637800', '641599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7741, 'chr19', '638400', '640399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7402, 'chr16', '638768', '638888', 'Pol2_peaks.bed']
[10066, 'chr20', '638800', '640199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3176, 'chr11', '638804', '638939', 'Pol2_peaks.bed']
[12659, 'chr20', '638979', '639072', 'Pol2_peaks.bed']
[3177, 'chr11', '642683', '642795', 'Pol2_peaks.bed']
[9351, 'chr18', '647641', '647792', 'Pol2_peaks.bed']
[4285, 'chr17', '652800', '656199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10067, 'chr20', '654600', '657999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8207, 'chr17', '655325', '655520', 'Pol2_peaks.bed']
[9246, 'chr18', '655400', '659399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8208, 'chr17', '655634', '655763', 'Pol2_peaks.bed']
[8209, 'chr17', '655963', '656066', 'Pol2_peaks.bed']
[14197, 'chr4', '657000', '658799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15094, 'chr4', '657518', '657611', 'Pol2_peaks.bed']
[9352, 'chr18', '658080', '658318', 'Pol2_peaks.bed']
[7742, 'chr19', '661400', '665199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9353, 'chr18', '666397', '666632', 'Pol2_peaks.bed']
[14198, 'chr4', '667000', '669399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15095, 'chr4', '667288', '667459', 'Pol2_peaks.bed']
[15096, 'chr4', '667977', '668150', 'Pol2_peaks.bed']
[14199, 'chr4', '674000', '675799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16178, 'chr2', '674800', '678799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11145, 'chr2', '677154', '677666', 'Pol2_peaks.bed']
[1199, 'chr12', '678600', '680399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7743, 'chr19', '679000', '682199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4329, 'chr12', '679761', '679854', 'Pol2_peaks.bed']
[20588, 'chr8', '680000', '683999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17050, 'chr6', '680519', '680642', 'Pol2_peaks.bed']
[5489, 'chr16', '680600', '681599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9693, 'chr19', '680750', '680939', 'Pol2_peaks.bed']
[19463, 'chr8', '681099', '681231', 'Pol2_peaks.bed']
[14200, 'chr4', '681800', '683799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11886, 'chr6', '683000', '684399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15097, 'chr4', '683184', '683415', 'Pol2_peaks.bed']
[17051, 'chr6', '684087', '684221', 'Pol2_peaks.bed']
[4286, 'chr17', '684400', '687599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5490, 'chr16', '685000', '688199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8210, 'chr17', '685440', '685733', 'Pol2_peaks.bed']
[7403, 'chr16', '686177', '686318', 'Pol2_peaks.bed']
[20589, 'chr8', '686600', '689999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15098, 'chr4', '688492', '688619', 'Pol2_peaks.bed']
[10068, 'chr20', '689800', '691599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5491, 'chr16', '690400', '693999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11887, 'chr6', '690800', '693999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4287, 'chr17', '692000', '694999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2284, 'chr11', '692800', '696799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17052, 'chr6', '693043', '693136', 'Pol2_peaks.bed']
[8211, 'chr17', '693660', '693757', 'Pol2_peaks.bed']
[8212, 'chr17', '694269', '694364', 'Pol2_peaks.bed']
[3178, 'chr11', '695920', '696013', 'Pol2_peaks.bed']
[5492, 'chr16', '698000', '700599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14201, 'chr4', '698800', '701199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15099, 'chr4', '699541', '699750', 'Pol2_peaks.bed']
[7744, 'chr19', '702600', '704599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9694, 'chr19', '703688', '703798', 'Pol2_peaks.bed']
[9695, 'chr19', '704264', '704411', 'Pol2_peaks.bed']
[2285, 'chr11', '705400', '707399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19749, 'chr9', '706600', '707199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10069, 'chr20', '707800', '709799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7745, 'chr19', '709400', '710199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11888, 'chr6', '710400', '711799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9247, 'chr18', '710600', '713399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9354, 'chr18', '712518', '712648', 'Pol2_peaks.bed']
[17617, 'chr1', '713200', '715199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[1, 'chr1', '713904', '714104', 'Pol2_peaks.bed']
[5493, 'chr16', '717600', '719599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2286, 'chr11', '720000', '721399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3179, 'chr11', '720813', '720923', 'Pol2_peaks.bed']
[5494, 'chr16', '724800', '726999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2287, 'chr11', '725400', '728399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3380, 'chr10', '728800', '730599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16179, 'chr2', '729000', '729799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11146, 'chr2', '729338', '729525', 'Pol2_peaks.bed']
[5495, 'chr16', '729400', '731599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5496, 'chr16', '732400', '734799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3381, 'chr10', '733600', '736799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7404, 'chr16', '734251', '734415', 'Pol2_peaks.bed']
[2283, 'chr10', '735467', '735592', 'Pol2_peaks.bed']
[16180, 'chr2', '739000', '743199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5497, 'chr16', '739200', '740999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11147, 'chr2', '740190', '740287', 'Pol2_peaks.bed']
[7405, 'chr16', '740296', '740438', 'Pol2_peaks.bed']
[5498, 'chr16', '741800', '746999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3180, 'chr11', '744155', '744264', 'Pol2_peaks.bed']
[2288, 'chr11', '746400', '750199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3181, 'chr11', '747184', '747347', 'Pol2_peaks.bed']
[3182, 'chr11', '747445', '747553', 'Pol2_peaks.bed']
[1200, 'chr12', '751200', '753599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4330, 'chr12', '752285', '752408', 'Pol2_peaks.bed']
[10852, 'chr7', '752400', '753199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5499, 'chr16', '755600', '757599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17618, 'chr1', '761200', '762999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15100, 'chr4', '763977', '764084', 'Pol2_peaks.bed']
[5500, 'chr16', '764600', '766799', 'accepted_hits_noDupl-W200-G400.scoreisland']
